Gene,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8
S100A8,0,0,0,1,0,0,1,0
S100A9,0,0,0,0,0,0,0,0
S100B,0,0,1,0,0,1,0,0
S100G,0,0,0,0,0,0,0,0
S100P,0,0,0,0,0,0,0,0
S100PBP,0,0,0,0,0,0,0,0
S100Z,0,0,0,0,0,0,0,0
S1PR1,0,0,1,0,0,0,0,0
S1PR2,0,0,0,0,0,0,0,0
S1PR3,0,0,0,0,0,0,0,0
S1PR4,0,0,0,0,0,0,0,0
S1PR5,0,0,0,0,0,0,0,0
SAA1,0,0,0,0,0,0,0,0
SAA2,0,0,0,0,0,0,0,0
SAA2-SAA4,0,0,0,0,0,0,0,0
SAA4,0,0,0,0,0,0,0,1
SAAL1,0,0,0,1,0,0,0,0
SAC3D1,0,0,0,0,0,0,0,0
SACM1L,0,0,0,0,0,0,0,0
SACS,0,2,0,1,0,0,0,0
SAE1,0,3,1,9,2,4,4,2
SAFB,0,0,0,5,1,0,0,0
SAFB2,0,0,0,6,0,0,2,0
SAG,0,0,0,0,0,0,0,0
SAGE1,0,4,162,14,35,81,163,44
SALL1,0,0,1,0,3,3,5,1
SALL2,0,17,19,9,7,31,15,13
SALL3,0,0,0,2,0,0,0,0
SALL4,0,0,0,0,0,0,0,0
SAMD1,0,0,0,0,0,0,0,0
SAMD10,0,0,0,0,0,0,0,0
SAMD11,0,0,0,0,0,0,0,0
SAMD12,0,0,2,0,0,0,0,1
SAMD12-AS1,0,0,0,0,0,0,0,0
SAMD13,0,0,0,0,0,0,0,0
SAMD14,0,0,0,0,0,0,0,0
SAMD15,0,0,0,4,0,0,0,0
SAMD3,0,0,0,0,0,0,0,0
SAMD4A,0,0,0,0,0,0,0,0
SAMD4B,0,0,0,0,0,0,0,0
SAMD5,0,0,0,0,0,0,0,0
SAMD7,0,0,0,0,0,0,0,0
SAMD8,0,0,0,0,0,0,0,0
SAMD9,0,0,3,0,0,3,1,0
SAMD9L,0,0,0,0,0,0,0,0
SAMHD1,0,0,0,0,0,0,0,0
SAMM50,0,0,0,0,0,0,0,0
SAMSN1,0,0,0,0,0,0,0,0
SAP130,0,0,0,0,0,0,0,0
SAP18,0,0,0,0,0,0,0,0
